,Date,Open,High,Low,Close,Adj Close,Volume,symbol
0,2015-01-02,44.574001,44.650002,42.652,43.862,43.862,23822000,TSLA
1,2015-01-05,42.91,43.299999,41.431999,42.018002,42.018002,26842500,TSLA
2,2015-01-06,42.012001,42.84,40.841999,42.256001,42.256001,31309500,TSLA
3,2015-01-07,42.669998,42.956001,41.956001,42.189999,42.189999,14842000,TSLA
4,2015-01-08,42.562,42.759998,42.001999,42.124001,42.124001,17212500,TSLA
5,2015-01-09,41.784,41.995998,40.992001,41.332001,41.332001,23341500,TSLA
6,2015-01-12,40.610001,40.894001,39.849998,40.442001,40.442001,29751500,TSLA
7,2015-01-13,40.664001,41.521999,40.181999,40.849998,40.849998,22386500,TSLA
8,2015-01-14,37.166,39.040001,37.0,38.537998,38.537998,57759500,TSLA
9,2015-01-15,38.897999,39.150002,38.0,38.374001,38.374001,26082500,TSLA
10,2015-01-16,38.139999,38.897999,37.93,38.613998,38.613998,18016000,TSLA
11,2015-01-20,38.773998,38.824001,37.408001,38.386002,38.386002,22516000,TSLA
12,2015-01-21,37.91,39.736,37.902,39.313999,39.313999,20765000,TSLA
13,2015-01-22,39.400002,40.647999,39.040001,40.324001,40.324001,20584500,TSLA
14,2015-01-23,40.057999,40.700001,39.666,40.257999,40.257999,17193000,TSLA
15,2015-01-26,40.366001,41.723999,40.209999,41.310001,41.310001,16172500,TSLA
16,2015-01-27,40.883999,41.605999,40.66,41.195999,41.195999,13905000,TSLA
17,2015-01-28,41.222,41.273998,39.683998,39.874001,39.874001,15748000,TSLA
18,2015-01-29,40.214001,41.195999,39.299999,41.040001,41.040001,17740500,TSLA
19,2015-01-30,40.792,41.493999,40.599998,40.720001,40.720001,15035000,TSLA
20,2015-02-02,40.793999,42.389999,40.66,42.188,42.188,20746000,TSLA
21,2015-02-03,42.644001,44.074001,42.254002,43.672001,43.672001,24131000,TSLA
22,2015-02-04,43.658001,44.296001,43.360001,43.709999,43.709999,16527000,TSLA
23,2015-02-05,43.976002,45.096001,43.928001,44.198002,44.198002,17614500,TSLA
24,2015-02-06,44.400002,44.68,43.299999,43.472,43.472,16219500,TSLA
25,2015-02-09,43.076,43.585999,42.397999,43.495998,43.495998,17362000,TSLA
26,2015-02-10,43.509998,44.099998,43.0,43.257999,43.257999,26952500,TSLA
27,2015-02-11,42.442001,42.948002,41.456001,42.560001,42.560001,48845500,TSLA
28,2015-02-12,38.714001,40.618,38.655998,40.576,40.576,78248000,TSLA
29,2015-02-13,40.580002,41.198002,40.181999,40.754002,40.754002,30955000,TSLA
30,2015-02-17,41.139999,41.139999,40.299999,40.869999,40.869999,19898000,TSLA
31,2015-02-18,40.834,41.234001,40.52,40.891998,40.891998,13568000,TSLA
32,2015-02-19,41.0,42.487999,40.75,42.341999,42.341999,25770500,TSLA
33,2015-02-20,42.155998,43.52,41.962002,43.422001,43.422001,29910500,TSLA
34,2015-02-23,43.132,43.639999,41.265999,41.467999,41.467999,42499000,TSLA
35,2015-02-24,41.458,41.458,40.34,40.821999,40.821999,33018000,TSLA
36,2015-02-25,40.987999,41.428001,40.515999,40.751999,40.751999,19547500,TSLA
37,2015-02-26,40.799999,42.217999,40.444,41.438,41.438,32364500,TSLA
38,2015-02-27,41.380001,41.709999,40.560001,40.667999,40.667999,19410500,TSLA
39,2015-03-02,40.540001,40.667999,39.166,39.466,39.466,39610500,TSLA
40,2015-03-03,39.362,40.048,39.063999,39.911999,39.911999,22161500,TSLA
41,2015-03-04,39.849998,40.504002,39.442001,40.487999,40.487999,21110000,TSLA
42,2015-03-05,40.57,41.237999,40.029999,40.125999,40.125999,24385000,TSLA
43,2015-03-06,39.841999,40.150002,38.43,38.776001,38.776001,33562000,TSLA
44,2015-03-09,38.877998,38.897999,37.650002,38.175999,38.175999,33683500,TSLA
45,2015-03-10,37.692001,38.700001,37.52,38.063999,38.063999,27898500,TSLA
46,2015-03-11,38.23,39.236,38.202,38.748001,38.748001,24874500,TSLA
47,2015-03-12,38.75,38.889999,37.950001,38.214001,38.214001,20746500,TSLA
48,2015-03-13,37.790001,38.349998,37.464001,37.736,37.736,27171500,TSLA
49,2015-03-16,38.400002,39.181999,37.959999,39.139999,39.139999,28144000,TSLA
50,2015-03-17,39.085999,39.742001,38.787998,38.945999,38.945999,24470500,TSLA
51,2015-03-18,38.992001,40.175999,38.622002,40.141998,40.141998,24104500,TSLA
52,2015-03-19,40.400002,40.917999,38.905998,39.130001,39.130001,42376000,TSLA
53,2015-03-20,39.490002,39.798,39.124001,39.616001,39.616001,21347500,TSLA
54,2015-03-23,39.700001,40.099998,39.493999,39.925999,39.925999,13158000,TSLA
55,2015-03-24,40.316002,40.757999,39.950001,40.344002,40.344002,18249500,TSLA
56,2015-03-25,39.653999,39.717999,38.540001,38.860001,38.860001,28652000,TSLA
57,2015-03-26,38.784,38.958,37.939999,38.082001,38.082001,20640000,TSLA
58,2015-03-27,37.813999,37.858002,36.279999,37.0,37.0,43024500,TSLA
59,2015-03-30,37.169998,38.450001,36.360001,38.113998,38.113998,50447500,TSLA
60,2015-03-31,38.706001,38.751999,37.681999,37.754002,37.754002,25133000,TSLA
61,2015-04-01,37.740002,38.459999,37.209999,37.518002,37.518002,18973000,TSLA
62,2015-04-02,38.046001,38.646,38.0,38.200001,38.200001,25052000,TSLA
63,2015-04-06,39.599998,41.549999,39.5,40.619999,40.619999,62279000,TSLA
64,2015-04-07,40.501999,41.012001,40.228001,40.650002,40.650002,21739500,TSLA
65,2015-04-08,41.639999,42.18,41.174,41.534,41.534,31515500,TSLA
66,2015-04-09,41.686001,42.074001,41.223999,42.018002,42.018002,19001000,TSLA
67,2015-04-10,41.970001,42.330002,41.799999,42.18,42.18,20338500,TSLA
68,2015-04-13,42.088001,42.599998,41.810001,41.956001,41.956001,18791000,TSLA
69,2015-04-14,41.714001,41.897999,41.099998,41.492001,41.492001,15130000,TSLA
70,2015-04-15,41.492001,41.917999,41.32,41.566002,41.566002,9762000,TSLA
71,2015-04-16,41.540001,41.834,41.257999,41.34,41.34,8295500,TSLA
72,2015-04-17,40.998001,41.375999,40.700001,41.358002,41.358002,12349500,TSLA
73,2015-04-20,41.355999,41.57,40.77,41.054001,41.054001,12796500,TSLA
74,2015-04-21,41.16,42.150002,40.862,41.882,41.882,17162500,TSLA
75,2015-04-22,42.5,44.375999,42.338001,43.888,43.888,39315000,TSLA
76,2015-04-23,43.653999,44.296001,43.43,43.720001,43.720001,22056000,TSLA
77,2015-04-24,44.099998,44.16,43.602001,43.686001,43.686001,12139000,TSLA
78,2015-04-27,44.512001,47.75,44.400002,46.310001,46.310001,58363000,TSLA
79,2015-04-28,46.950001,47.099998,45.605999,46.096001,46.096001,30427000,TSLA
80,2015-04-29,46.009998,46.993999,45.526001,46.490002,46.490002,19680500,TSLA
81,2015-04-30,46.077999,46.577999,45.034,45.209999,45.209999,19559500,TSLA
82,2015-05-01,45.987999,46.354,44.082001,45.206001,45.206001,26408500,TSLA
83,2015-05-04,45.636002,46.945999,45.422001,46.102001,46.102001,22173000,TSLA
84,2015-05-05,47.551998,47.900002,45.826,46.59,46.59,28984500,TSLA
85,2015-05-06,46.82,46.894001,45.639999,46.085999,46.085999,26354500,TSLA
86,2015-05-07,44.200001,47.495998,44.049999,47.360001,47.360001,47279500,TSLA
87,2015-05-08,47.198002,47.681999,46.740002,47.321999,47.321999,23341000,TSLA
88,2015-05-11,47.257999,48.576,47.062,47.897999,47.897999,28361500,TSLA
89,2015-05-12,48.021999,49.27,47.638,48.948002,48.948002,31817000,TSLA
90,2015-05-13,49.521999,49.66,48.450001,48.636002,48.636002,27201000,TSLA
91,2015-05-14,48.964001,48.978001,48.25,48.82,48.82,14479500,TSLA
92,2015-05-15,48.785999,49.880001,48.5,49.768002,49.768002,22638000,TSLA
93,2015-05-18,49.400002,49.98,49.200001,49.75,49.75,16766000,TSLA
94,2015-05-19,49.686001,50.200001,49.23,49.428001,49.428001,18371000,TSLA
95,2015-05-20,49.425999,49.548,48.273998,48.869999,48.869999,18778000,TSLA
96,2015-05-21,48.605999,49.324001,48.472,49.124001,49.124001,9853000,TSLA
97,2015-05-22,49.076,49.720001,49.001999,49.546001,49.546001,11115500,TSLA
98,2015-05-26,49.535999,50.400002,49.299999,49.492001,49.492001,17493500,TSLA
99,2015-05-27,49.702,49.900002,49.110001,49.486,49.486,17041000,TSLA
100,2015-05-28,49.405998,50.360001,49.009998,50.290001,50.290001,18236500,TSLA
101,2015-05-29,50.200001,50.574001,49.886002,50.16,50.16,18946500,TSLA
102,2015-06-01,50.282001,50.32,49.493999,49.889999,49.889999,12525500,TSLA
103,2015-06-02,49.784,49.880001,49.259998,49.669998,49.669998,10674000,TSLA
104,2015-06-03,49.639999,50.144001,49.402,49.798,49.798,8907500,TSLA
105,2015-06-04,49.5,49.860001,49.141998,49.183998,49.183998,12268000,TSLA
106,2015-06-05,49.200001,49.939999,49.136002,49.827999,49.827999,15110000,TSLA
107,2015-06-08,50.169998,51.75,50.062,51.257999,51.257999,25085000,TSLA
108,2015-06-09,51.080002,51.548,50.827999,51.200001,51.200001,13055500,TSLA
109,2015-06-10,50.380001,50.799999,49.700001,50.139999,50.139999,17272500,TSLA
110,2015-06-11,50.652,50.874001,50.085999,50.282001,50.282001,10220500,TSLA
111,2015-06-12,50.042,50.692001,50.042,50.138,50.138,7111500,TSLA
112,2015-06-15,49.939999,50.256001,49.202,50.076,50.076,10931000,TSLA
113,2015-06-16,50.026001,50.688,49.82,50.624001,50.624001,9923500,TSLA
114,2015-06-17,50.433998,52.872002,50.403999,52.082001,52.082001,27564500,TSLA
115,2015-06-18,52.400002,52.692001,52.004002,52.377998,52.377998,13913500,TSLA
116,2015-06-19,52.48,52.759998,52.02,52.501999,52.501999,12315000,TSLA
117,2015-06-22,52.43,52.880001,51.138,51.958,51.958,22805500,TSLA
118,2015-06-23,52.063999,53.599998,51.714001,53.534,53.534,19354000,TSLA
119,2015-06-24,53.396,53.470001,52.743999,53.034,53.034,12061500,TSLA
120,2015-06-25,53.290001,54.282001,53.049999,53.757999,53.757999,14246000,TSLA
121,2015-06-26,53.778,53.821999,53.200001,53.417999,53.417999,19192000,TSLA
122,2015-06-29,52.389999,53.189999,52.139999,52.403999,52.403999,17394500,TSLA
123,2015-06-30,52.959999,54.183998,52.799999,53.652,53.652,15434500,TSLA
124,2015-07-01,54.222,54.523998,53.57,53.830002,53.830002,10506000,TSLA
125,2015-07-02,56.040001,56.490002,54.661999,56.004002,56.004002,35819500,TSLA
126,2015-07-06,55.776001,56.338001,55.259998,55.944,55.944,20609500,TSLA
127,2015-07-07,55.0,55.040001,52.153999,53.576,53.576,30525500,TSLA
128,2015-07-08,51.863998,52.16,50.862,50.992001,50.992001,31105500,TSLA
129,2015-07-09,51.816002,52.59,51.358002,51.584,51.584,16670500,TSLA
130,2015-07-10,52.444,52.599998,51.563999,51.830002,51.830002,13054500,TSLA
131,2015-07-13,52.450001,52.509998,51.209999,52.431999,52.431999,14801500,TSLA
132,2015-07-14,52.419998,53.198002,52.102001,53.130001,53.130001,9538000,TSLA
133,2015-07-15,53.348,53.498001,52.416,52.627998,52.627998,10108000,TSLA
134,2015-07-16,52.844002,53.439999,52.632,53.335999,53.335999,8080000,TSLA
135,2015-07-17,54.5,55.108002,53.650002,54.931999,54.931999,25020500,TSLA
136,2015-07-20,55.0,57.330002,54.507999,56.452,56.452,24892500,TSLA
137,2015-07-21,54.009998,54.700001,53.310001,53.354,53.354,30543500,TSLA
138,2015-07-22,52.254002,53.888,52.172001,53.574001,53.574001,15525000,TSLA
139,2015-07-23,53.93,53.98,53.054001,53.439999,53.439999,11136000,TSLA
140,2015-07-24,53.476002,54.217999,52.784,53.082001,53.082001,14182500,TSLA
141,2015-07-27,52.486,52.886002,50.158001,50.602001,50.602001,23471000,TSLA
142,2015-07-28,51.150002,53.080002,50.368,52.964001,52.964001,19479000,TSLA
143,2015-07-29,52.854,53.577999,52.400002,52.764,52.764,13950500,TSLA
144,2015-07-30,52.537998,53.388,52.422001,53.358002,53.358002,10173000,TSLA
145,2015-07-31,53.52,53.872002,53.023998,53.23,53.23,11113000,TSLA
146,2015-08-03,53.257999,53.341999,51.414001,51.998001,51.998001,12767500,TSLA
147,2015-08-04,52.001999,53.344002,51.667999,53.256001,53.256001,11762500,TSLA
148,2015-08-05,52.716,54.200001,52.080002,54.026001,54.026001,31071500,TSLA
149,2015-08-06,49.908001,51.0,47.223999,49.226002,49.226002,73119000,TSLA
150,2015-08-07,48.716,48.745998,47.678001,48.501999,48.501999,25367000,TSLA
151,2015-08-10,47.630001,48.594002,47.209999,48.228001,48.228001,20929500,TSLA
152,2015-08-11,47.43,47.860001,46.888,47.473999,47.473999,21324500,TSLA
153,2015-08-12,47.0,47.953999,46.548,47.633999,47.633999,18640000,TSLA
154,2015-08-13,47.972,49.296001,47.824001,48.501999,48.501999,23446000,TSLA
155,2015-08-14,49.448002,49.585999,48.354,48.630001,48.630001,21824000,TSLA
156,2015-08-17,51.112,51.318001,50.102001,50.998001,50.998001,35883500,TSLA
157,2015-08-18,51.076,52.189999,50.712002,52.144001,52.144001,20975000,TSLA
158,2015-08-19,52.066002,52.130001,51.004002,51.049999,51.049999,18021500,TSLA
159,2015-08-20,50.411999,50.911999,48.380001,48.436001,48.436001,24529000,TSLA
160,2015-08-21,47.200001,48.759998,46.102001,46.153999,46.153999,32951000,TSLA
161,2015-08-24,40.557999,46.279999,39.0,43.773998,43.773998,47908000,TSLA
162,2015-08-25,46.104,46.18,43.824001,44.006001,44.006001,21636500,TSLA
163,2015-08-26,45.585999,45.599998,43.102001,44.967999,44.967999,24815000,TSLA
164,2015-08-27,46.200001,48.950001,46.161999,48.598,48.598,38280000,TSLA
165,2015-08-28,48.372002,50.290001,48.313999,49.695999,49.695999,27568500,TSLA
166,2015-08-31,49.124001,50.990002,49.102001,49.812,49.812,23501000,TSLA
167,2015-09-01,48.068001,49.200001,47.394001,47.726002,47.726002,27274000,TSLA
168,2015-09-02,49.060001,49.576,47.956001,49.537998,49.537998,23146000,TSLA
169,2015-09-03,50.411999,50.416,49.0,49.113998,49.113998,20974000,TSLA
170,2015-09-04,48.178001,48.818001,47.639999,48.386002,48.386002,18446000,TSLA
171,2015-09-08,49.009998,49.832001,48.810001,49.633999,49.633999,15691000,TSLA
172,2015-09-09,50.41,50.849998,49.66,49.782001,49.782001,16954000,TSLA
173,2015-09-10,49.445999,50.144001,49.066002,49.695999,49.695999,13545000,TSLA
174,2015-09-11,49.528,50.048,48.945999,50.048,50.048,11754000,TSLA
175,2015-09-14,50.220001,50.849998,49.933998,50.638,50.638,14454500,TSLA
176,2015-09-15,50.549999,50.919998,49.900002,50.714001,50.714001,14667500,TSLA
177,2015-09-16,50.608002,52.576,50.576,52.450001,52.450001,22085500,TSLA
178,2015-09-17,52.792,53.099998,52.138,52.414001,52.414001,17929000,TSLA
179,2015-09-18,51.591999,52.764,51.5,52.124001,52.124001,18815500,TSLA
180,2015-09-21,52.796001,54.313999,51.16,52.84,52.84,30601000,TSLA
181,2015-09-22,51.806,52.529999,51.174,52.188,52.188,18322000,TSLA
182,2015-09-23,52.389999,52.416,51.515999,52.212002,52.212002,13004000,TSLA
183,2015-09-24,51.905998,52.689999,51.242001,52.624001,52.624001,17241000,TSLA
184,2015-09-25,53.321999,53.382,51.23,51.382,51.382,18867000,TSLA
185,2015-09-28,51.470001,51.958,49.321999,49.686001,49.686001,24505500,TSLA
186,2015-09-29,50.091999,50.945999,49.091999,49.330002,49.330002,18516000,TSLA
187,2015-09-30,50.400002,50.48,48.467999,49.68,49.68,24648000,TSLA
188,2015-10-01,49.501999,49.700001,47.425999,47.976002,47.976002,22865000,TSLA
