,Date,Open,High,Low,Close,Adj Close,Volume,symbol
0,2015-01-02,94.910004,95.279999,92.849998,93.75,87.376251,5865400,DIS
1,2015-01-05,93.279999,93.349998,91.779999,92.379997,86.099388,7789400,DIS
2,2015-01-06,92.57,93.190002,91.160004,91.889999,85.642715,6793100,DIS
3,2015-01-07,92.720001,93.150002,92.099998,92.830002,86.518814,6589500,DIS
4,2015-01-08,93.870003,94.300003,93.559998,93.790001,87.413536,7579400,DIS
5,2015-01-09,94.050003,95.269997,93.989998,94.25,87.842262,8621300,DIS
6,2015-01-12,94.690002,94.760002,93.769997,94.459999,88.037987,6586200,DIS
7,2015-01-13,95.279999,96.43,94.699997,95.190002,88.718361,9364300,DIS
8,2015-01-14,94.0,94.800003,93.290001,94.230003,87.823624,6509300,DIS
9,2015-01-15,94.610001,94.959999,94.040001,94.349998,87.935471,5662200,DIS
10,2015-01-16,94.0,95.230003,93.980003,95.18,88.709038,6117000,DIS
11,2015-01-20,95.220001,95.389999,93.75,94.739998,88.29895,7940600,DIS
12,2015-01-21,94.370003,94.739998,93.82,94.169998,87.767708,7474700,DIS
13,2015-01-22,94.580002,95.389999,94.010002,95.150002,88.681068,7014200,DIS
14,2015-01-23,94.919998,95.529999,94.43,94.720001,88.280312,4664700,DIS
15,2015-01-26,94.449997,95.0,93.93,94.970001,88.513321,5446900,DIS
16,2015-01-27,93.940002,94.739998,93.360001,93.970001,87.581306,5390000,DIS
17,2015-01-28,94.139999,94.470001,92.610001,92.669998,86.369698,6198400,DIS
18,2015-01-29,93.110001,93.5,91.519997,93.220001,86.882294,7681700,DIS
19,2015-01-30,92.5,92.940002,90.830002,90.959999,84.775948,10212300,DIS
20,2015-02-02,91.300003,92.050003,90.059998,91.93,85.68,9392000,DIS
21,2015-02-03,92.43,94.110001,92.190002,94.099998,87.702469,12329100,DIS
22,2015-02-04,99.389999,101.940002,98.82,101.279999,94.394318,32640500,DIS
23,2015-02-05,100.760002,102.839996,100.510002,102.639999,95.66185,14089500,DIS
24,2015-02-06,102.669998,102.989998,101.650002,102.019997,95.083992,8535200,DIS
25,2015-02-09,101.800003,102.5,101.449997,101.730003,94.813728,5461800,DIS
26,2015-02-10,101.959999,102.190002,101.18,101.919998,94.990791,5726300,DIS
27,2015-02-11,102.010002,102.019997,101.07,101.870003,94.944214,5868200,DIS
28,2015-02-12,102.160004,103.849998,101.699997,103.580002,96.537956,6816800,DIS
29,2015-02-13,103.730003,104.410004,103.43,104.169998,97.087852,5175600,DIS
30,2015-02-17,104.230003,104.449997,103.57,104.120003,97.041245,4759300,DIS
31,2015-02-18,103.400002,104.330002,103.400002,103.860001,96.79892,3760200,DIS
32,2015-02-19,104.0,104.080002,103.550003,103.889999,96.826874,5094100,DIS
33,2015-02-20,103.860001,104.690002,102.730003,104.550003,97.442001,5197000,DIS
34,2015-02-23,104.760002,105.230003,104.440002,104.989998,97.852089,5587100,DIS
35,2015-02-24,104.540001,105.050003,104.349998,104.669998,97.553841,4098800,DIS
36,2015-02-25,104.68,105.980003,104.669998,105.57,98.392662,6547200,DIS
37,2015-02-26,105.5,105.709999,104.139999,104.559998,97.451317,5049000,DIS
38,2015-02-27,104.669998,105.139999,103.959999,104.080002,97.003944,4161600,DIS
39,2015-03-02,104.349998,105.980003,104.349998,105.889999,98.690895,5635500,DIS
40,2015-03-03,105.779999,106.639999,105.209999,106.349998,99.119614,4671900,DIS
41,2015-03-04,105.860001,106.0,104.779999,105.57,98.392662,4972300,DIS
42,2015-03-05,105.540001,105.809998,104.870003,105.029999,97.889366,3954700,DIS
43,2015-03-06,104.669998,105.0,103.489998,103.82,96.761635,5704200,DIS
44,2015-03-09,103.940002,105.419998,103.82,105.260002,98.103729,4868900,DIS
45,2015-03-10,104.269997,104.349998,103.089996,103.089996,96.081268,6472600,DIS
46,2015-03-11,103.510002,104.0,102.870003,102.889999,95.894859,4831900,DIS
47,2015-03-12,103.849998,107.330002,103.809998,107.169998,99.883888,10730400,DIS
48,2015-03-13,107.279999,107.279999,105.519997,106.440002,99.203514,8024200,DIS
49,2015-03-16,106.839996,107.730003,106.050003,107.370003,100.07029,6407300,DIS
50,2015-03-17,107.0,107.209999,106.150002,106.959999,99.688156,4489400,DIS
51,2015-03-18,106.900002,108.419998,105.730003,107.970001,100.629486,5520600,DIS
52,2015-03-19,107.839996,108.480003,107.139999,107.370003,100.07029,4885600,DIS
53,2015-03-20,107.830002,108.940002,107.5,108.43,101.058212,8710100,DIS
54,2015-03-23,108.599998,108.849998,108.040001,108.220001,100.862503,5667000,DIS
